Disciplina
G18P1 - Algoritmos e Programação I
G18P1 - Arquitetura e Organização de Computadores I
G18P1 - Desenvolvimento Front-end
G18P1 - Inglês Instrumental
G18P1 - Leitura e Prática de Produção Textual
G18P2 - Pré-Cálculo
G18P2 - Gestão de Processos Empresariais
G18P2 - Lógica Matemática
G18P2 - Arquitetura e Organização de Computadores II
G18P2 - Banco de Dados I
G18P2 - Algoritmos e Programação II
G18P3 - Cálculo Diferencial e Integral
G18P3 - Metodologia Científica e da Pesquisa
G18P3 - Sociedade e Tecnologia
G18P3 - Estruturas de Dados
G18P3 - Tópicos em Programação I
G18P3 - Banco de Dados II
G18P3 - Empreendedorismo e Arquitetura Empresarial
G18P4 - Projeto Integrador I
G18P4 - Fundamentos de Sistemas de Informação
G18P4 - Engenharia de Requisitos
G18P4 - Engenharia de Software I
G18P4 - Tópicos em Programação II
G18P4 - Sistemas Operacionais
G18P4 - Aspectos Teóricos de Computação
G18P5 - Projeto Integrador II
G18P5 - Gestão Estratégica da Informação
G18P5 - Otimização para Sistemas
G18P5 - Engenharia de Software II
G18P5 - Computação Orientada a Serviços
G18P5 - Redes de Computadores I
G18P5 - Tópicos em Programação III
G18P6 - Estágio Supervisionado
G18P6 - Interface Humano- Computador
G18P6 - Governança de TI
G18P6 - Engenharia de Qualidade
G18P6 - Estatística Computacional
G18P6 - Inteligência Artificial
G18P6 - Redes de Computadores II
G18P6 - Programação para Dispositivos Móveis I
G18P7 - Elaboração e Gestão de Projetos
G18P7 - Sistemas Distribuídos
G18P7 - Mineração de dados
G18P7 - Optativa I
G18P7 - Programação para Dispositivos Móveis II
G18P7 - Projeto de Conclusão de Curso
G18P8 - Segurança e Auditoria de Sistemas
G18P8 - Direito e Legislação em Informática
G18P8 - Simulação de Sistemas de Informação
G18P8 - Infraestrutura de Redes como Serviços
G18P8 - Optativa II
G18P8 - Trabalho de Conclusão de Curso
G10P1 - Matemática Computacional
G10P1 - Lógica Matemática
G10P1 - Fundamentos da Computação
G10P1 - Algoritmos e Estruturas de Dados I
G10P1 - Laboratório de Programação I
G10P1 - Leitura e Prática de Produção Textual
G10P1 - Metodologia Científica e da Pesquisa
G10P2 - Cálculo Diferencial e Integral
G10P2 - Teorias da Administração
G10P2 - Arquitetura e Organização de Computadores
G10P2 - Algoritmos e Estruturas de Dados II
G10P2 - Laboratório de Programação II
G10P2 - Matrizes Epistemológicas da Informação e da Comunicação
G10P3 - Fundamentos de Sistemas de Informação
G10P3 - Banco de Dados I
G10P3 - Algoritmos e Estruturas de Dados III
G10P3 - Linguagens e Técnicas de Programação I
G10P3 - Sistemas Operacionais
G10P3 - Probabilidade e Estatística
G10P4 - Engenharia de Software I
G10P4 - Banco de Dados II
G10P4 - Linguagens e Técnicas de Programação II
G10P4 - Aspectos Teóricos de Computação
G10P4 - Pesquisa Operacional
G10P4 - Gestão da Informação
G10P5 - Fundamentos de Inteligência Artificial
G10P5 - Linguagens de Programação Web I
G10P5 - Engenharia de Software II
G10P5 - Redes de Computadores I
G10P5 - Simulação
G10P5 - Introdução à Economia
G10P6 - Linguagens de Programação Web II
G10P6 - Redes de Computadores II
G10P6 - Sistemas Multimídia
G10P6 - Mineração de dados
G10P6 - Computação Gráfica
G10P6 - Elaboração e Gestão de Projetos
G10P7 - Sistemas Distribuídos
G10P7 - Programação para Dispositivos Móveis
G10P7 - Administração e Gerência de Redes
G10P7 - Interação Humano-Computador
G10P7 - Projeto de Conclusão de Curso
G10P7 - Optativa I
G10P7 - Estágio Supervisionado
G10P8 - Direito e Legislação em Informática
G10P8 - Empreededorismo
G10P8 - Segurança e Auditoria de Sistemas
G10P8 - Optativa II
G10P8 - Trabalho de Conclusão de Curso
